date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new
2020-06-29T00:00:00.000Z,46,277,244,44,68,165,24,0,2020,0.1371287128712871,6878,7095,713,347,326,0,601,7
2020-06-30T00:00:00.000Z,52,296,257,56,68,172,24,1,2020,0.1465346534653465,6548,7696,751,348,327,0,613,16
2020-07-01T00:00:00.000Z,82,333,284,59,73,201,24,3,2020,0.1648514851485149,6341,8518,771,351,330,0,620,10
2020-07-02T00:00:00.000Z,64,345,309,72,72,201,28,1,2020,0.1707920792079208,6707,9483,793,358,331,0,640,23
2020-07-03T00:00:00.000Z,56,360,315,83,75,202,29,3,2020,0.1782178217821782,5633,10208,879,361,334,0,648,13
2020-07-04T00:00:00.000Z,61,370,346,85,84,201,33,5,2020,0.1831683168316832,3784,10833,962,367,339,0,657,11
2020-07-05T00:00:00.000Z,82,428,377,94,82,252,32,2,2020,0.2118811881188119,7344,11490,952,373,341,0,670,16
2020-07-06T00:00:00.000Z,81,450,370,90,97,263,34,8,2020,0.2227722772277228,6638,12351,1022,376,349,0,677,8
2020-07-07T00:00:00.000Z,104,470,412,94,95,281,35,5,2020,0.2326732673267327,6401,13338,1202,378,354,1,693,22
2020-07-08T00:00:00.000Z,91,496,437,113,89,294,38,5,2020,0.2455445544554455,6453,14245,1357,383,359,1,716,27
2020-07-09T00:00:00.000Z,120,553,482,126,100,327,41,5,2020,0.2737623762376238,6591,15206,1643,389,364,0,749,34
2020-07-10T00:00:00.000Z,87,563,478,130,105,328,41,4,2020,0.2787128712871287,5592,16238,1806,390,368,0,764,15
2020-07-11T00:00:00.000Z,91,568,526,136,120,312,46,5,2020,0.2811881188118812,4821,17052,1916,395,373,0,782,20
2020-07-12T00:00:00.000Z,124,643,540,151,125,367,47,7,2020,0.3183168316831683,7501,17825,2017,398,380,0,810,34
2020-07-13T00:00:00.000Z,120,658,542,184,121,353,53,4,2020,0.3257425742574258,6724,18941,2251,408,384,0,853,51
2020-07-14T00:00:00.000Z,108,643,575,189,140,314,55,7,2020,0.3183168316831683,6632,19959,2483,412,391,0,885,35
2020-07-15T00:00:00.000Z,109,682,566,209,121,351,58,6,2020,0.3376237623762377,6494,21227,2733,418,397,1,922,48
2020-07-16T00:00:00.000Z,136,693,579,209,133,351,59,9,2020,0.3430693069306931,6554,22430,2938,426,406,0,951,36
2020-07-17T00:00:00.000Z,139,706,620,219,150,337,58,12,2020,0.3495049504950495,5363,23274,3163,429,418,0,977,27
2020-07-18T00:00:00.000Z,101,714,682,236,150,328,57,8,2020,0.3534653465346535,4930,23941,3431,430,426,0,1006,33
2020-07-19T00:00:00.000Z,155,828,699,271,144,413,74,10,2020,0.4099009900990099,7485,24360,3479,446,436,0,1072,76
2020-07-20T00:00:00.000Z,144,824,691,265,148,411,79,12,2020,0.4079207920792079,6620,25276,3819,457,448,0,1110,41
2020-07-21T00:00:00.000Z,128,811,680,257,142,412,81,9,2020,0.4014851485148515,6556,26206,4263,465,457,0,1145,40
2020-07-22T00:00:00.000Z,136,806,710,285,138,383,80,6,2020,0.399009900990099,6500,24223,4390,473,463,0,1199,62
2020-07-23T00:00:00.000Z,126,822,720,311,152,359,84,16,2020,0.4069306930693069,6798,19688,4185,482,479,0,1254,65
2020-07-24T00:00:00.000Z,104,817,736,330,152,335,87,8,2020,0.4044554455445545,5706,21024,2958,488,487,0,1289,44
2020-07-25T00:00:00.000Z,90,820,785,322,178,320,99,7,2020,0.405940594059406,4946,21179,3252,502,494,0,1310,28
2020-07-26T00:00:00.000Z,125,895,783,312,197,386,100,11,2020,0.4430693069306931,7428,19320,3258,513,505,0,1346,44
2020-07-27T00:00:00.000Z,140,920,792,317,182,421,95,7,2020,0.4554455445544555,6609,19575,3198,521,512,0,1391,54
2020-07-28T00:00:00.000Z,124,905,793,323,185,397,95,8,2020,0.448019801980198,6372,19985,3289,528,520,0,1437,53
2020-07-29T00:00:00.000Z,122,896,786,336,173,387,97,15,2020,0.4435643564356436,6247,20505,3263,537,535,0,1484,59
2020-07-30T00:00:00.000Z,93,866,758,319,172,375,102,15,2020,0.4287128712871287,5957,20472,3349,551,550,0,1518,39
2020-07-31T00:00:00.000Z,118,864,778,318,171,375,94,14,2020,0.4277227722772277,5784,20466,3347,555,564,0,1546,31
2020-08-01T00:00:00.000Z,106,872,817,338,165,369,94,14,2020,0.4316831683168317,4947,20420,3416,564,578,0,1590,53
2020-08-02T00:00:00.000Z,140,949,832,350,171,428,100,11,2020,0.4698019801980198,7323,18376,3597,572,589,0,1635,56
2020-08-03T00:00:00.000Z,108,924,789,328,147,448,94,15,2020,0.4574257425742574,6639,18579,3360,581,604,0,1674,43
2020-08-04T00:00:00.000Z,110,890,774,342,164,384,98,11,2020,0.4405940594059406,6745,18697,3261,585,615,0,1727,63
2020-08-05T00:00:00.000Z,141,903,782,355,164,384,105,10,2020,0.447029702970297,6352,18912,3184,597,625,0,1761,41
2020-08-06T00:00:00.000Z,111,886,775,357,152,377,97,9,2020,0.4386138613861386,6439,18596,3333,605,634,2,1800,47
2020-08-07T00:00:00.000Z,120,887,816,367,159,361,104,12,2020,0.4391089108910891,5446,18854,3535,614,646,2,1839,47
