date,serious_critical_new,medium_new,easy_new
2021-09-11T00:00:00.000Z,75,52,132
2021-09-12T00:00:00.000Z,88,81,180
2021-09-13T00:00:00.000Z,78,58,146
2021-09-14T00:00:00.000Z,83,76,150
2021-09-15T00:00:00.000Z,79,57,111
2021-09-16T00:00:00.000Z,62,30,118
2021-09-17T00:00:00.000Z,73,42,188
2021-09-18T00:00:00.000Z,111,59,142
2021-09-19T00:00:00.000Z,87,57,167
2021-09-20T00:00:00.000Z,87,46,121
2021-09-21T00:00:00.000Z,90,32,119
2021-09-22T00:00:00.000Z,90,65,117
2021-09-23T00:00:00.000Z,85,42,122
2021-09-24T00:00:00.000Z,68,36,106
2021-09-25T00:00:00.000Z,69,43,75
2021-09-26T00:00:00.000Z,74,50,135
2021-09-27T00:00:00.000Z,63,32,110
2021-09-28T00:00:00.000Z,61,27,84
2021-09-29T00:00:00.000Z,55,29,129
2021-09-30T00:00:00.000Z,60,43,104
2021-10-01T00:00:00.000Z,52,36,87
2021-10-02T00:00:00.000Z,44,40,78
2021-10-03T00:00:00.000Z,43,29,96
2021-10-04T00:00:00.000Z,39,22,86
2021-10-05T00:00:00.000Z,35,27,67
2021-10-06T00:00:00.000Z,40,22,64
2021-10-07T00:00:00.000Z,34,18,72
2021-10-08T00:00:00.000Z,44,18,56
2021-10-09T00:00:00.000Z,35,17,44
2021-10-10T00:00:00.000Z,32,15,71
2021-10-11T00:00:00.000Z,35,19,59
2021-10-12T00:00:00.000Z,26,23,54
2021-10-13T00:00:00.000Z,30,19,59
2021-10-14T00:00:00.000Z,25,22,47
2021-10-15T00:00:00.000Z,30,10,43
2021-10-16T00:00:00.000Z,22,15,33
2021-10-17T00:00:00.000Z,25,15,48
2021-10-18T00:00:00.000Z,19,11,41
2021-10-19T00:00:00.000Z,23,10,36
2021-10-20T00:00:00.000Z,17,11,37
2021-10-21T00:00:00.000Z,13,13,43
2021-10-22T00:00:00.000Z,19,16,26
2021-10-23T00:00:00.000Z,11,12,16
2021-10-24T00:00:00.000Z,8,12,37
2021-10-25T00:00:00.000Z,13,18,23
2021-10-26T00:00:00.000Z,8,6,18
2021-10-27T00:00:00.000Z,16,7,29
