date,amount
2020-12-27T00:00:00.000Z,4250
2020-12-28T00:00:00.000Z,2500
2020-12-29T00:00:00.000Z,2415
2020-12-30T00:00:00.000Z,3751
2020-12-31T00:00:00.000Z,4296
2021-01-01T00:00:00.000Z,3502
2021-01-02T00:00:00.000Z,2066
2021-01-03T00:00:00.000Z,5622
2021-01-04T00:00:00.000Z,3120
2021-01-05T00:00:00.000Z,2994
2021-01-06T00:00:00.000Z,4834
2021-01-07T00:00:00.000Z,5918
2021-01-08T00:00:00.000Z,4898
2021-01-09T00:00:00.000Z,3118
2021-01-10T00:00:00.000Z,8460
2021-01-11T00:00:00.000Z,4897
2021-01-12T00:00:00.000Z,4615
2021-01-13T00:00:00.000Z,8084
2021-01-14T00:00:00.000Z,9305
2021-01-15T00:00:00.000Z,8084
2021-01-16T00:00:00.000Z,4304
2021-01-17T00:00:00.000Z,11030
2021-01-18T00:00:00.000Z,6223
2021-01-19T00:00:00.000Z,5537
2021-01-20T00:00:00.000Z,8842
2021-01-21T00:00:00.000Z,10101
2021-01-22T00:00:00.000Z,8576
2021-01-23T00:00:00.000Z,4216
2021-01-24T00:00:00.000Z,10534
2021-01-25T00:00:00.000Z,5683
2021-01-26T00:00:00.000Z,5150
2021-01-27T00:00:00.000Z,7507
2021-01-28T00:00:00.000Z,9335
2021-01-29T00:00:00.000Z,7589
2021-01-30T00:00:00.000Z,3593
2021-01-31T00:00:00.000Z,10239
2021-02-01T00:00:00.000Z,5210
2021-02-02T00:00:00.000Z,4485
2021-02-03T00:00:00.000Z,6234
2021-02-04T00:00:00.000Z,382
