date,dailyDoublingRate,numberOfDoublingDays
2020-07-29T00:00:00.000Z,-0.7057858022158525,-97.86230095094311
2020-07-30T00:00:00.000Z,-1.686089759484255,-40.76218799846835
2020-07-31T00:00:00.000Z,-3.9260193358553908,-17.30632865602095
2020-08-01T00:00:00.000Z,-4.252712635631795,-15.94985860716723
2020-08-02T00:00:00.000Z,-3.034180222993965,-22.49627454809203
2020-08-03T00:00:00.000Z,-2.356267672007539,-29.06921544094202
2020-08-04T00:00:00.000Z,-3.8223938223938334,-17.78502574233388
2020-08-05T00:00:00.000Z,-2.689682858289844,-25.42244297576786
2020-08-06T00:00:00.000Z,-1.103547854785469,-62.46358041210159
2020-08-07T00:00:00.000Z,4.2027322974241175,16.83697066468031
2020-08-08T00:00:00.000Z,1.291032826261018,54.03518634190986
2020-08-09T00:00:00.000Z,2.134176464776205,32.82379185082874
2020-08-10T00:00:00.000Z,-0.9287027183902508,-74.2889541876986
2020-08-11T00:00:00.000Z,0.927643784786647,75.06730629736396
2020-08-12T00:00:00.000Z,-0.6675696594427238,-103.4844780394282
2020-08-13T00:00:00.000Z,-0.3214181357748203,-215.3060314465515
2020-08-14T00:00:00.000Z,-3.6642564002345215,-18.56771880575721
2020-08-15T00:00:00.000Z,0.03042904959935644,2278.259240397856
2020-08-16T00:00:00.000Z,1.470290002027985,47.48929943216453
2020-08-17T00:00:00.000Z,-0.5496152693114875,-125.7680868978859
2020-08-18T00:00:00.000Z,-1.7684887459807008,-38.84671814704108
2020-08-19T00:00:00.000Z,0.2148117839607222,323.0229656981334
2020-08-20T00:00:00.000Z,-1.6229457997346208,-42.36168207789655
2020-08-21T00:00:00.000Z,1.0894376426644479,63.97025748446292
2020-08-22T00:00:00.000Z,-0.47213383967977807,-146.4647395747894
2020-08-23T00:00:00.000Z,-1.072496648447974,-64.28211327705421
2020-08-24T00:00:00.000Z,2.616491191493808,26.83655939776842
2020-08-25T00:00:00.000Z,3.15928484355954,22.28477969657779
2020-08-26T00:00:00.000Z,3.387493845396361,20.80659590985826
2020-08-27T00:00:00.000Z,5.905324316601579,12.08092455963072
2020-08-28T00:00:00.000Z,3.048835326917887,23.07965743866784
2020-08-29T00:00:00.000Z,1.736777797172273,40.25553073806815
2020-08-30T00:00:00.000Z,1.175259500729187,59.32412266273783
2020-08-31T00:00:00.000Z,2.357130744446323,29.75162300408688
2020-09-01T00:00:00.000Z,2.435387673956257,28.80665571064239
2020-09-02T00:00:00.000Z,9.752547307132463,7.448544091507589
2020-09-03T00:00:00.000Z,4.096669613910997,17.26402705354496
2020-09-04T00:00:00.000Z,5.591732729331844,12.7393592192352
2020-09-05T00:00:00.000Z,3.9884703043303382,17.72308707817973
2020-09-06T00:00:00.000Z,6.9167794752788,10.36395228114515
2020-09-07T00:00:00.000Z,7.295309296997465,9.843778624934878
2020-09-08T00:00:00.000Z,6.94538098449089,10.32266874088378
2020-09-09T00:00:00.000Z,4.208701134930659,16.81357707735688
2020-09-10T00:00:00.000Z,7.548026017244003,9.525529094248945
