dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-05-03T00:00:00.000Z,5-11,,,9
2020-05-03T00:00:00.000Z,12-15,,,4
2020-05-03T00:00:00.000Z,16-19,,,10
2020-05-04T00:00:00.000Z,0-4,,,4
2020-05-04T00:00:00.000Z,5-11,,,8
2020-05-04T00:00:00.000Z,12-15,,,3
2020-05-04T00:00:00.000Z,16-19,,,10
2020-05-05T00:00:00.000Z,0-4,,,3
2020-05-05T00:00:00.000Z,5-11,,,7
2020-05-05T00:00:00.000Z,12-15,,,3
2020-05-05T00:00:00.000Z,16-19,,,10
2020-05-06T00:00:00.000Z,0-4,,,2
2020-05-06T00:00:00.000Z,5-11,,,7
2020-05-06T00:00:00.000Z,12-15,,,4
2020-05-06T00:00:00.000Z,16-19,,,10
2020-05-07T00:00:00.000Z,0-4,,,2
2020-05-07T00:00:00.000Z,5-11,,,8
2020-05-07T00:00:00.000Z,12-15,,,4
2020-05-07T00:00:00.000Z,16-19,,,11
2020-05-08T00:00:00.000Z,0-4,,,2
2020-05-08T00:00:00.000Z,5-11,,,7
2020-05-08T00:00:00.000Z,12-15,,,4
2020-05-08T00:00:00.000Z,16-19,,,10
2020-05-09T00:00:00.000Z,0-4,,,2
2020-05-09T00:00:00.000Z,5-11,,,7
2020-05-09T00:00:00.000Z,12-15,,,4
2020-05-09T00:00:00.000Z,16-19,,,9
2020-05-10T00:00:00.000Z,0-4,,,2
2020-05-10T00:00:00.000Z,5-11,,,7
2020-05-10T00:00:00.000Z,12-15,,,5
2020-05-10T00:00:00.000Z,16-19,,,9
2020-05-11T00:00:00.000Z,0-4,,,2
2020-05-11T00:00:00.000Z,5-11,,,6
2020-05-11T00:00:00.000Z,12-15,,,4
2020-05-11T00:00:00.000Z,16-19,,,8
2020-05-12T00:00:00.000Z,0-4,,,3
2020-05-12T00:00:00.000Z,5-11,,,6
2020-05-12T00:00:00.000Z,12-15,,,4
2020-05-12T00:00:00.000Z,16-19,,,9
2020-05-13T00:00:00.000Z,0-4,,,5
2020-05-13T00:00:00.000Z,5-11,,,7
2020-05-13T00:00:00.000Z,12-15,,,4
2020-05-13T00:00:00.000Z,16-19,,,11
2020-05-14T00:00:00.000Z,0-4,,,7
2020-05-14T00:00:00.000Z,5-11,,,7
2020-05-14T00:00:00.000Z,12-15,,,4
2020-05-14T00:00:00.000Z,16-19,,,11
2020-05-15T00:00:00.000Z,0-4,,,7
2020-05-15T00:00:00.000Z,5-11,,,9
