name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
אבו רוקייק (שבט),3.6,אפור,5.9,0.0441176470588,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,12.61,10.59,2.84,
בסמת טבעון,4.1,צהוב,5.0,0.010840108401,-0.09090909090910004, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,57.64,52.27,27.16,
מסעודין אל-עזאזמה,3.1,אפור,3.4,0.0387096774193,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,7.43,6.11,1.77,
רכסים,3.6,ירוק,4.5,0.0254237288135,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,44.33,33.43,18.61,
שבלי - אום אל-גנם,2.5,ירוק,3.2,0.009009009009,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,72.23,63.81,38.36,
מגדל העמק,2.1,ירוק,0.8,0.0016474464579,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,71.79,66.49,48.89,
ירוחם,2.1,ירוק,0.9,0.0015060240963,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,69.50,61.83,44.48,
שלומי,2.7,ירוק,3.0,0.0055096418732,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,73.68,69.64,51.62,
שתולים,4.6,ירוק,52.6,0.0384615384615,0.1000000000000001, קטן מ-15 ,צהוב,2021-12-22T00:00:00.000Z,70.95,65.60,48.21,
תפרח,2.6,ירוק,4.5,0.05,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,48.60,31.34,18.01,
"כפר חב""ד",2.3,ירוק,1.5,0.0029850746268,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,49.99,40.00,24.37,
מעגן מיכאל,4.5,ירוק,14.4,0.0121580547112,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,78.69,73.64,58.44,
גבעת שמואל,3.9,ירוק,8.1,0.0100961538461,1.2,26,ירוק,2021-12-22T00:00:00.000Z,77.34,70.81,55.69,9.5
עומר,4.3,ירוק,9.2,0.0096551724137,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,מעל 90%,75.04,
שייח' דנון,3.6,ירוק,3.4,0.004016064257,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,65.12,57.19,29.8,
כפר קרע,2.6,ירוק,0.5,0.0014836795252,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,67.78,60.06,35.17,
אבטין,2.2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,63.32,56.56,28.78,0.0
מייסר,3.9,ירוק,9.7,0.027027027027,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,67.57,62.47,35.39,
קלנסווה,2.4,ירוק,3.0,0.003294117647,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,62.34,51.60,25.44,
ערערה,3,ירוק,2.4,0.0045801526717,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,51.07,44.62,23.25,
מוקייבלה,2.7,ירוק,2.4,0.0119047619047,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,71.27,59.99,31.52,
כפר קאסם,2.8,ירוק,3.3,0.0069686411149,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,64.74,52.06,26.65,
כפר ברא,2.4,ירוק,2.7,0.004329004329,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,66.90,55.34,29.52,
