----------
lastUpdate
----------
lastUpdate
2020-09-23T06:41:59.770Z


----------------
infectedPerDate1
----------------
date,amount,recovered
2020-03-26T00:00:00.000Z,83,464,413,54,65,345,31,5,1842,0.251900108577633,3925,2244,0
2020-03-27T00:00:00.000Z,110,515,468,65,69,381,37,2,1842,0.2795874049945711,3267,2607,0
2020-03-28T00:00:00.000Z,53,513,485,69,82,362,41,1,1842,0.2785016286644951,2834,3046,0
2020-03-29T00:00:00.000Z,70,544,516,79,88,377,50,3,1842,0.2953311617806732,4289,3509,0
2020-03-30T00:00:00.000Z,121,619,570,87,105,427,54,1,1842,0.3360477741585233,3886,3961,0
2020-03-31T00:00:00.000Z,111,668,628,98,114,456,64,4,1842,0.3626492942453855,4005,4570,0
2020-04-01T00:00:00.000Z,147,769,728,111,143,515,72,8,1842,0.4174809989142237,4088,4410,689
2020-04-02T00:00:00.000Z,115,813,728,113,145,555,79,10,1842,0.4413680781758957,4284,4990,720
2020-04-03T00:00:00.000Z,97,804,719,130,159,515,93,5,1842,0.4364820846905538,3494,5500,717
2020-04-04T00:00:00.000Z,73,791,752,139,171,481,107,7,1842,0.4294245385450597,3155,5826,718
2020-04-05T00:00:00.000Z,100,827,743,135,194,498,107,6,1842,0.4489685124864278,4495,6325,693
2020-04-06T00:00:00.000Z,93,814,703,147,209,458,110,7,1842,0.4419109663409337,4088,6604,796
2020-04-07T00:00:00.000Z,72,748,656,159,201,388,106,7,1842,0.4060803474484256,4313,6856,819
2020-04-08T00:00:00.000Z,57,695,622,166,193,336,115,9,1842,0.3773072747014115,3511,7023,859
2020-04-09T00:00:00.000Z,65,665,634,166,187,312,117,9,1842,0.3610206297502714,3363,7138,944
2020-04-10T00:00:00.000Z,56,670,598,170,170,330,128,8,1842,0.3637350705754615,4086,7258,1002
2020-04-11T00:00:00.000Z,39,627,595,182,162,283,130,6,1842,0.3403908794788274,3172,7366,1061
2020-04-12T00:00:00.000Z,90,667,620,177,174,316,130,7,1842,0.3621064060803474,4965,7503,1074
2020-04-13T00:00:00.000Z,91,691,629,192,169,330,137,8,1842,0.3751357220412595,4653,7483,1181
2020-04-14T00:00:00.000Z,75,676,631,178,170,328,134,8,1842,0.3669923995656895,4376,7446,1229
2020-04-15T00:00:00.000Z,69,673,655,180,174,319,133,13,1842,0.3653637350705755,3492,7401,1238
2020-04-16T00:00:00.000Z,51,702,643,180,162,360,136,7,1842,0.3811074918566775,5388,7204,1366
2020-04-17T00:00:00.000Z,48,666,613,166,163,337,125,9,1842,0.3615635179153094,4188,7157,1348
2020-04-18T00:00:00.000Z,42,644,619,174,141,329,118,11,1842,0.3496199782844734,3825,6725,1661
2020-04-19T00:00:00.000Z,40,621,571,157,147,317,118,8,1842,0.3371335504885993,5788,6677,1707
2020-04-20T00:00:00.000Z,49,612,560,154,135,323,123,6,1842,0.3322475570032573,5097,6417,1723
2020-04-21T00:00:00.000Z,27,546,510,145,147,254,119,9,1842,0.2964169381107492,4921,6256,1738
2020-04-22T00:00:00.000Z,36,533,498,149,124,260,110,3,1842,0.2893593919652552,4822,6118,1739
2020-04-23T00:00:00.000Z,32,502,454,146,107,249,114,4,1842,0.2725298588490771,5353,6175,1605
2020-04-24T00:00:00.000Z,26,462,440,144,109,209,108,3,1842,0.250814332247557,4411,5787,1751
2020-04-25T00:00:00.000Z,8,442,429,136,105,201,107,3,1842,0.239956568946797,3643,5524,1762
2020-04-26T00:00:00.000Z,33,441,415,142,92,207,111,2,1842,0.239413680781759,5757,5394,1737
2020-04-27T00:00:00.000Z,21,415,382,133,88,194,102,4,1842,0.2252985884907709,5298,4951,1775
2020-04-28T00:00:00.000Z,28,391,367,128,85,178,101,5,1842,0.2122692725298589,4854,4678,1726
2020-04-29T00:00:00.000Z,23,377,362,121,87,169,96,6,1842,0.2046688382193268,4207,4327,1726
2020-04-30T00:00:00.000Z,19,378,346,113,88,177,90,6,1842,0.2052117263843648,5673,4076,1721
2020-05-01T00:00:00.000Z,20,353,333,111,85,157,89,4,1842,0.1916395222584148,4551,3533,1746
2020-05-02T00:00:00.000Z,13,335,328,112,67,156,90,3,1842,0.1818675352877307,3973,3476,1610
2020-05-03T00:00:00.000Z,14,324,300,102,72,150,84,3,1842,0.1758957654723127,5982,3387,1591
2020-05-04T00:00:00.000Z,19,320,289,98,74,148,78,3,1842,0.1737242128121607,5531,3135,1545
2020-05-05T00:00:00.000Z,9,278,264,92,66,120,72,2,1842,0.1509229098805646,5408,2901,1488
2020-05-06T00:00:00.000Z,15,270,251,89,63,118,70,1,1842,0.1465798045602606,5362,2818,1439
2020-05-07T00:00:00.000Z,13,258,247,85,62,111,71,1,1842,0.1400651465798046,5634,2627,1423
2020-05-08T00:00:00.000Z,13,240,237,78,54,108,64,6,1842,0.1302931596091205,4819,2428,1365
2020-05-09T00:00:00.000Z,10,240,238,78,50,112,64,2,1842,0.1302931596091205,3270,2500,1204
