dayDate,ageGroup,verifiedNormalized,avgVerifiedAmount7Days
2020-05-02T00:00:00.000Z,5-11,0.65,11
2020-05-02T00:00:00.000Z,12-15,1.26,11
2020-05-02T00:00:00.000Z,16-19,1.52,13
2020-05-03T00:00:00.000Z,0-4,0.11,6
2020-05-03T00:00:00.000Z,5-11,0,10
2020-05-03T00:00:00.000Z,12-15,0.47,10
2020-05-03T00:00:00.000Z,16-19,0.17,12
2020-05-04T00:00:00.000Z,0-4,0.55,6
2020-05-04T00:00:00.000Z,5-11,0.48,9
2020-05-04T00:00:00.000Z,12-15,1.1,10
2020-05-04T00:00:00.000Z,16-19,1.35,10
2020-05-05T00:00:00.000Z,0-4,0.11,5
2020-05-05T00:00:00.000Z,5-11,0.32,7
2020-05-05T00:00:00.000Z,12-15,0.31,8
2020-05-05T00:00:00.000Z,16-19,0.34,7
2020-05-06T00:00:00.000Z,0-4,0.55,5
2020-05-06T00:00:00.000Z,5-11,0.73,7
2020-05-06T00:00:00.000Z,12-15,1.26,8
2020-05-06T00:00:00.000Z,16-19,1.01,7
2020-05-07T00:00:00.000Z,0-4,0.55,4
2020-05-07T00:00:00.000Z,5-11,0.32,6
2020-05-07T00:00:00.000Z,12-15,0.47,6
2020-05-07T00:00:00.000Z,16-19,0.34,5
2020-05-08T00:00:00.000Z,0-4,0.22,3
2020-05-08T00:00:00.000Z,5-11,0.16,4
2020-05-08T00:00:00.000Z,12-15,0.31,4
2020-05-08T00:00:00.000Z,16-19,0.34,4
2020-05-09T00:00:00.000Z,0-4,0,2
2020-05-09T00:00:00.000Z,5-11,0,3
2020-05-09T00:00:00.000Z,12-15,0.16,3
2020-05-09T00:00:00.000Z,16-19,0.17,3
2020-05-10T00:00:00.000Z,0-4,0,2
2020-05-10T00:00:00.000Z,5-11,0,3
2020-05-10T00:00:00.000Z,12-15,0.31,3
2020-05-10T00:00:00.000Z,16-19,0.51,3
2020-05-11T00:00:00.000Z,0-4,0.33,2
2020-05-11T00:00:00.000Z,5-11,0.24,3
2020-05-11T00:00:00.000Z,12-15,1.1,3
2020-05-11T00:00:00.000Z,16-19,0.34,2
2020-05-12T00:00:00.000Z,0-4,0,2
2020-05-12T00:00:00.000Z,5-11,0.08,2
2020-05-12T00:00:00.000Z,12-15,0.63,3
2020-05-12T00:00:00.000Z,16-19,0.34,2
2020-05-13T00:00:00.000Z,0-4,0.33,1
2020-05-13T00:00:00.000Z,5-11,0.48,2
2020-05-13T00:00:00.000Z,12-15,0.31,3
2020-05-13T00:00:00.000Z,16-19,0.34,2
2020-05-14T00:00:00.000Z,0-4,0,1
2020-05-14T00:00:00.000Z,5-11,0.16,2
2020-05-14T00:00:00.000Z,12-15,0.16,2
2020-05-14T00:00:00.000Z,16-19,0.51,2
2020-05-15T00:00:00.000Z,0-4,0,0
2020-05-15T00:00:00.000Z,5-11,0,1
2020-05-15T00:00:00.000Z,12-15,0,2
2020-05-15T00:00:00.000Z,16-19,0.17,2
2020-05-16T00:00:00.000Z,0-4,0,0
2020-05-16T00:00:00.000Z,5-11,0,1
2020-05-16T00:00:00.000Z,12-15,0,2
2020-05-16T00:00:00.000Z,16-19,0.17,2
2020-05-17T00:00:00.000Z,0-4,0,0
2020-05-17T00:00:00.000Z,5-11,0.32,2
2020-05-17T00:00:00.000Z,12-15,0.47,2
2020-05-17T00:00:00.000Z,16-19,0.17,1
2020-05-18T00:00:00.000Z,0-4,0.44,1
2020-05-18T00:00:00.000Z,5-11,0.32,2
