name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
ZARZIR,3.6,ירוק,7.2,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,62.77,56.70,30.26,
'QAZIR,4.9,ירוק,27.1,37,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,68.24,65.95,52.25,
ABU TULUL,3.1,ירוק,4.7,16,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,17.53,15.19,6.24,
KAFAR YASIF,6.7,כתום,30.2,14,29,31,כתום,2022-06-11T00:00:00.000Z,74.16,65.77,41.94,30.2
RAME,6.2,כתום,14.2,25,10, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,81.30,72.18,49.26,
BIR HADAGE,2,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,3.50,2.62,0.95,0.0
GEDERA,9.4,אדום,38.2,26,52,99,אדום,2022-06-11T00:00:00.000Z,75.11,71.26,53.79,34.4
RAMAT HASHARON,9.7,אדום,51.2,32,68,225,אדום,2022-06-11T00:00:00.000Z,88.30,85.39,70.10,47.4
SHA'ARE TIQWA,9.1,ירוק,52.9,34,220,26,אדום,2022-06-11T00:00:00.000Z,74.24,70.16,54.72,43.0
TALMON,4.8,צהוב,22.8,55,10, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,74.85,66.90,46.10,
AFULA,9.4,אדום,30.1,33,96,164,אדום,2022-06-11T00:00:00.000Z,71.23,66.69,50.69,28.9
PARDES HANNA-KARKUR,9.2,כתום,37.8,31,117,151,אדום,2022-06-11T00:00:00.000Z,72.64,68.83,52.13,34.6
PETAH TIQWA,9.5,אדום,45.6,32,94,1078,אדום,2022-06-11T00:00:00.000Z,78.98,73.83,56.99,43.0
ZEFAT,5.7,כתום,8.2,17,3,40,צהוב,2022-06-11T00:00:00.000Z,45.12,39.95,26.82,11.0
QIRYAT MOTZKIN,9.9,אדום,48.6,30,58,205,אדום,2022-06-11T00:00:00.000Z,83.34,79.91,65.16,45.1
RISHON LEZIYYON,9.4,אדום,48.5,26,65,1151,אדום,2022-06-11T00:00:00.000Z,78.15,74.80,60.10,45.0
NES ZIYYONA,9.6,אדום,53.2,35,111,231,אדום,2022-06-11T00:00:00.000Z,78.05,74.67,58.62,45.7
NAZARETH,7.1,ירוק,13.8,20,167,107,כתום,2022-06-11T00:00:00.000Z,68.28,59.15,36.03,13.8
NETANYA,7.9,כתום,28.5,21,78,615,אדום,2022-06-11T00:00:00.000Z,71.65,67.19,50.81,27.5
BET HASHMONAY,7.3,ירוק,95.9,32,110,20,כתום,2022-06-11T00:00:00.000Z,מעל 90%,מעל 90%,71.95,91.4
JISR AZ-ZARQA,3.9,ירוק,7.3,6,10, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,73.27,62.26,40.68,
ELYAKHIN,4.7,צהוב,5.8,13,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,72.42,68.98,52.08,
OFRA,5.3,צהוב,29.1,52,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,78.27,72.07,53.12,
QIRYAT ONO,9.9,אדום,64.0,32,82,258,אדום,2022-06-11T00:00:00.000Z,83.44,79.99,63.93,63.3
MEVASSERET ZIYYON,9.6,אדום,60.0,35,114,160,אדום,2022-06-11T00:00:00.000Z,83.94,79.37,64.37,65.7
HARISH,9.4,אדום,32.6,41,236,58,אדום,2022-06-11T00:00:00.000Z,61.45,56.47,39.18,29.6
MATTAN,7.6,צהוב,44.1,39,23,16,אדום,2022-06-11T00:00:00.000Z,84.52,81.63,66.61,44.1
QASR A-SIR,0.6,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,18.38,16.91,7.08,0.0
JUDEIDE-MAKER,7.7,ירוק,20.6,16,340,38,אדום,2022-06-11T00:00:00.000Z,66.67,58.07,34.39,17.8
LAPPID,6.2,ירוק,46.9,35,10, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,89.68,86.95,72.75,
DEIR HANNA,6.5,צהוב,19.1,19,100,18,כתום,2022-06-11T00:00:00.000Z,73.26,62.14,38.00,17.2
NA'URA,2,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,73.05,63.45,37.57,0.0
REINE,3.6,ירוק,3.7,7,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,54.20,46.84,25.79,
KOKHAV YA'IR,9.9,אדום,73.2,35,82,66,אדום,2022-06-11T00:00:00.000Z,מעל 90%,מעל 90%,81.99,75.5
GAN NER,7.1,ירוק,48.1,43,30, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,87.52,83.93,67.89,
ARAD,8.1,אדום,22.1,29,-3,59,אדום,2022-06-11T00:00:00.000Z,74.25,67.38,48.31,21.7
BET SHEMESH,6.9,צהוב,8.6,17,93,107,כתום,2022-06-11T00:00:00.000Z,42.76,34.69,22.31,8.1
YAVNE,9.3,אדום,41.4,27,63,190,אדום,2022-06-11T00:00:00.000Z,74.79,70.00,52.33,38.2
UMM AL-FAHM,4.7,ירוק,4.1,11,129,28,צהוב,2022-06-11T00:00:00.000Z,63.12,53.96,28.52,4.9
YIRKA,6.2,כתום,5.8,16,-23, קטן מ-15 ,כתום,2022-06-11T00:00:00.000Z,65.40,54.44,34.43,
QIRYAT EQRON,9.5,אדום,38.1,29,121,30,אדום,2022-06-11T00:00:00.000Z,69.62,65.53,48.11,27.2
KAOKAB ABU AL-HIJA,3.9,ירוק,5.5,7,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,71.73,62.46,38.17,
RAMAT YISHAY,9.8,אדום,53.2,36,55,42,אדום,2022-06-11T00:00:00.000Z,84.36,81.84,66.84,53.2
YOQNE'AM ILLIT,10,אדום,59.4,37,41,137,אדום,2022-06-11T00:00:00.000Z,80.93,77.61,61.92,56.9
DEIR AL-ASAD,4.3,צהוב,3.1,4,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,70.64,59.17,37.10,
KAFAR KAMA,5.1,צהוב,20.6,41,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,74.06,70.26,55.45,
SULAM,3.7,ירוק,7.6,8,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,79.98,70.05,44.07,
MA'ALE ADUMMIM,9.9,אדום,42.1,38,89,145,אדום,2022-06-11T00:00:00.000Z,77.58,72.02,55.36,38.4
EIN QINIYYE,1.1,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,83.90,72.80,50.72,0.0
BET SHE'AN,7.5,כתום,20.5,25,34,49,כתום,2022-06-11T00:00:00.000Z,74.39,68.31,48.52,25.8
ZIKHRON YA'AQOV,9.9,אדום,47.2,35,48,108,אדום,2022-06-11T00:00:00.000Z,80.65,76.89,62.33,46.0
YEHUD,8.9,אדום,42.3,29,58,123,אדום,2022-06-11T00:00:00.000Z,82.16,77.75,62.42,41.0
QIRYAT BIALIK,9.2,אדום,45.4,29,101,196,אדום,2022-06-11T00:00:00.000Z,81.60,77.94,62.92,47.1
QIRYAT YAM,8.4,כתום,34.8,29,82,136,אדום,2022-06-11T00:00:00.000Z,77.70,74.03,58.44,34.5
SAYYID,2,אפור,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,16.79,13.32,3.52,0.0
REHOVOT,9.7,אדום,45.6,33,58,615,אדום,2022-06-11T00:00:00.000Z,74.18,69.83,53.83,42.1
RAMLA,7.7,כתום,21.5,16,79,182,אדום,2022-06-11T00:00:00.000Z,68.41,61.16,41.75,23.7
ASHQELON,9.4,אדום,29.9,31,93,445,אדום,2022-06-11T00:00:00.000Z,72.39,67.56,50.69,30.4
MIGDAL HAEMEQ,7.8,אדום,22.5,27,26,57,אדום,2022-06-11T00:00:00.000Z,73.67,68.71,52.22,22.1
LAQYE,2.1,ירוק,0.7,1,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,31.34,25.96,9.95,
UMM BATIN,2.6,ירוק,2.2,4,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,19.35,15.71,5.76,
TIFRAH,0.3,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,52.07,35.00,19.53,0.0
DABURIYYA,3.8,ירוק,1.9,1,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,68.73,59.25,37.52,
KOKHAV HASHAHAR,5.1,צהוב,38.5,66,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,62.37,54.45,37.50,
AR'ARA-BANEGEV,1.9,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,33.47,27.88,12.12,
ABU RUQAYYEQ,2.8,אפור,2.0,6,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,13.96,11.92,3.80,
KUSEIFE,3,ירוק,0.4,1,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,24.23,20.18,8.27,
JISH(GUSH HALAV),3.7,ירוק,6.4,18,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,75.96,69.62,50.90,
SHEIKH DANNUN,4.5,ירוק,6.8,10,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,65.60,57.73,32.77,
BASMAT TAB'UN,3.9,ירוק,10.0,2,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,58.67,53.23,29.85,
SAJUR,5.3,ירוק,25.2,33,10, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,78.17,67.96,48.35,
ELI,5.3,צהוב,22.3,41,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,66.00,59.53,41.32,
BUQ'ATA,3.1,ירוק,1.5,25,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,82.43,68.91,45.90,
MAJDAL SHAMS,2,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,74.62,63.48,41.36,0.0
GHAJAR,2,ירוק,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,55.68,52.15,30.22,0.0
YANUH-JAT,5.6,ירוק,8.8,35,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,73.66,61.87,41.49,
JULIS,5.3,ירוק,9.2,15,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,76.64,68.94,49.87,
EIN NAQQUBA,4.9,צהוב,19.6,16,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,60.56,49.17,27.33,
ATRASH,2,אפור,0.0,0,0, 0 ,ירוק,2022-06-11T00:00:00.000Z,10.06,8.23,2.64,0.0
RUMAT HEIB,2.3,ירוק,4.8,1,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,59.21,52.24,27.19,
MEISER,4.5,ירוק,9.7,37,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,67.67,62.03,38.16,
MUGHAR,3.3,ירוק,4.3,10,-47,17,ירוק,2022-06-11T00:00:00.000Z,72.36,64.39,41.07,7.3
MAZRA'A,3,ירוק,7.5,6,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,67.47,61.63,38.19,
QEDUMIM,6,צהוב,26.2,33,19, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,73.82,68.44,50.10,
NEWE DANIYYEL,6.3,ירוק,94.8,68,120,19,כתום,2022-06-11T00:00:00.000Z,82.93,76.25,57.41,81.9
AVNE HEFEZ,5.6,ירוק,43.3,62,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,63.25,54.11,38.43,
MAS'ADE,3,ירוק,2.7,12,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,78.16,67.96,41.92,
HOSHA'AYA,5.6,ירוק,47.9,40,0, קטן מ-15 ,צהוב,2022-06-11T00:00:00.000Z,מעל 90%,84.39,63.57,
NOFIT,7,ירוק,61.3,41,60,18,כתום,2022-06-11T00:00:00.000Z,מעל 90%,89.09,76.65,68.9
SEGEV-SHALOM,3.9,ירוק,0.9,4,0, קטן מ-15 ,ירוק,2022-06-11T00:00:00.000Z,31.56,26.75,11.46,
QIRYAT MAL'AKHI,8.7,כתום,15.6,22,100,43,אדום,2022-06-11T00:00:00.000Z,60.08,52.71,33.92,17.7
BENE AYISH,9.1,כתום,37.7,25,160,19,אדום,2022-06-11T00:00:00.000Z,72.11,68.07,53.20,27.5
PARDESIYYA,9.5,אדום,75.2,33,138,46,אדום,2022-06-11T00:00:00.000Z,מעל 90%,89.57,72.02,69.2
QIRYAT ATTA,9.6,אדום,41.3,33,71,211,אדום,2022-06-11T00:00:00.000Z,76.58,72.07,56.47,35.6
