day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-03-15T00:00:00.000Z,כלל האוכלוסיה,3,0,10,0.1,,0.2
2021-03-15T00:00:00.000Z,מתחת לגיל 60,1,0,1,0,,0
2021-03-16T00:00:00.000Z,מתחת לגיל 60,0,0,6,0,,0.1
2021-03-16T00:00:00.000Z,מעל גיל 60,1,0,5,0.1,,2.2
2021-03-16T00:00:00.000Z,כלל האוכלוסיה,1,0,11,0,,0.3
2021-03-17T00:00:00.000Z,מעל גיל 60,0,0,6,0,,2.7
2021-03-17T00:00:00.000Z,כלל האוכלוסיה,1,0,7,0,,0.2
2021-03-17T00:00:00.000Z,מתחת לגיל 60,1,0,1,0,,0
2021-03-18T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-18T00:00:00.000Z,כלל האוכלוסיה,0,0,5,0,,0.1
2021-03-18T00:00:00.000Z,מעל גיל 60,0,0,4,0,,1.8
2021-03-19T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-19T00:00:00.000Z,מעל גיל 60,3,0,7,0.2,,3.1
2021-03-19T00:00:00.000Z,כלל האוכלוסיה,3,0,8,0.1,,0.2
2021-03-20T00:00:00.000Z,מתחת לגיל 60,0,0,0,0,,0
2021-03-20T00:00:00.000Z,מעל גיל 60,1,0,5,0.1,,2.3
2021-03-20T00:00:00.000Z,כלל האוכלוסיה,1,0,5,0,,0.1
2021-03-21T00:00:00.000Z,מתחת לגיל 60,0,0,0,0,,0
2021-03-21T00:00:00.000Z,כלל האוכלוסיה,3,0,10,0.1,,0.2
2021-03-21T00:00:00.000Z,מעל גיל 60,3,0,10,0.2,,4.5
2021-03-22T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,,0
2021-03-22T00:00:00.000Z,מעל גיל 60,2,0,9,0.2,,4.1
2021-03-22T00:00:00.000Z,כלל האוכלוסיה,2,0,11,0,,0.3
2021-03-23T00:00:00.000Z,כלל האוכלוסיה,3,0,10,0.1,,0.2
2021-03-23T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-23T00:00:00.000Z,מעל גיל 60,3,0,9,0.2,,4.1
2021-03-24T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,,0
2021-03-24T00:00:00.000Z,מעל גיל 60,2,0,5,0.2,,2.3
2021-03-24T00:00:00.000Z,כלל האוכלוסיה,2,0,6,0,,0.1
2021-03-25T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,,0.1
2021-03-25T00:00:00.000Z,כלל האוכלוסיה,1,0,5,0,,0.1
2021-03-25T00:00:00.000Z,מעל גיל 60,1,0,2,0.1,,0.9
2021-03-26T00:00:00.000Z,מעל גיל 60,1,0,6,0.1,,2.8
