date,amount
2021-02-06T00:00:00.000Z,3081
2021-02-07T00:00:00.000Z,9825
2021-02-08T00:00:00.000Z,5052
2021-02-09T00:00:00.000Z,4950
2021-02-10T00:00:00.000Z,8328
2021-02-11T00:00:00.000Z,8841
2021-02-12T00:00:00.000Z,7284
2021-02-13T00:00:00.000Z,3438
2021-02-14T00:00:00.000Z,9698
2021-02-15T00:00:00.000Z,4904
2021-02-16T00:00:00.000Z,3770
2021-02-17T00:00:00.000Z,6569
2021-02-18T00:00:00.000Z,7549
2021-02-19T00:00:00.000Z,5935
2021-02-20T00:00:00.000Z,3426
2021-02-21T00:00:00.000Z,7467
2021-02-22T00:00:00.000Z,3696
2021-02-23T00:00:00.000Z,3184
2021-02-24T00:00:00.000Z,5411
2021-02-25T00:00:00.000Z,5046
2021-02-26T00:00:00.000Z,3779
2021-02-27T00:00:00.000Z,1576
2021-02-28T00:00:00.000Z,5695
2021-03-01T00:00:00.000Z,2749
2021-03-02T00:00:00.000Z,2931
2021-03-03T00:00:00.000Z,4625
2021-03-04T00:00:00.000Z,4822
2021-03-05T00:00:00.000Z,4013
2021-03-06T00:00:00.000Z,1927
2021-03-07T00:00:00.000Z,5731
2021-03-08T00:00:00.000Z,2695
2021-03-09T00:00:00.000Z,2934
2021-03-10T00:00:00.000Z,4637
2021-03-11T00:00:00.000Z,5026
2021-03-12T00:00:00.000Z,3929
2021-03-13T00:00:00.000Z,2048
2021-03-14T00:00:00.000Z,5853
2021-03-15T00:00:00.000Z,2677
2021-03-16T00:00:00.000Z,2256
2021-03-17T00:00:00.000Z,3650
2021-03-18T00:00:00.000Z,3616
2021-03-19T00:00:00.000Z,2560
2021-03-20T00:00:00.000Z,1464
2021-03-21T00:00:00.000Z,3505
2021-03-22T00:00:00.000Z,1705
2021-03-23T00:00:00.000Z,742
2021-03-24T00:00:00.000Z,2262
2021-03-25T00:00:00.000Z,2119
2021-03-26T00:00:00.000Z,1496
2021-03-27T00:00:00.000Z,856
2021-03-28T00:00:00.000Z,887
2021-03-29T00:00:00.000Z,1488
2021-03-30T00:00:00.000Z,839
2021-03-31T00:00:00.000Z,1077
2021-04-01T00:00:00.000Z,147
