priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
month6,לוב,כתום,2,4,0,0,
month6,קונגו,כתום,2,36,2,5.56,
month6,זימבאבווה,כתום,2,101,0,0,
month6,ארגנטינה,כתום,2,1302,6,0.46,
month6,קירג'זסטאן,כתום,2,543,33,6.08,
month6,קמרון,כתום,2,101,4,3.96,
month6,מאוריציוס,כתום,2,50,0,0,
month6,בנגלדש,כתום,2,3,0,0,
month6,פרגוואי,כתום,2,157,1,0.64,
month6,אנגולה,כתום,2,224,1,0.45,
month6,איי נורפולק,כתום,2,5,0,0,
month6,טיוואן,צהוב,3,189,0,0,
month6,פלאו,כתום,2,1,0,0,
month6,גבון,כתום,2,31,0,0,
month6,נמיביה,כתום,2,119,0,0,
month6,מצרים,כתום,2,125347,619,0.49,
month6,פולין,כתום,2,22970,98,0.43,
month6,גווטאמלה,כתום,2,317,12,3.79,
month6,בילורוסיה,כתום,2,8994,89,0.99,
month6,יוון,כתום,2,206464,1070,0.52,
month6,ברזיל,כתום,2,983,7,0.71,
month6,אנדורה,כתום,2,19,0,0,
month6,אינדונזיה,כתום,2,51,0,0,
month6,נורבגיה,כתום,2,589,3,0.51,
month6,סנגל,כתום,2,75,0,0,
month6,מקדוניה,כתום,2,173,2,1.16,
month6,ניגר,כתום,2,12,0,0,
month6,סלובניה,כתום,2,1571,7,0.45,
month6,קזחסטאן,כתום,2,819,27,3.3,
month6,בוטסואנה,כתום,2,134,0,0,
month6,צכיה,צהוב,3,35878,202,0.56,
month6,פאפואה,כתום,2,13,0,0,
month6,איי סיישל,כתום,2,5664,10,0.18,
month6,גואם,כתום,2,1,0,0,
month6,סינגפור,כתום,2,495,2,0.4,
month6,קוסובו,צהוב,3,68,0,0,
month6,אריתראה,כתום,2,4,0,0,
month6,אלבניה,כתום,2,1691,7,0.41,
month6,אירלנד,כתום,2,1175,0,0,
month6,איי קוק,כתום,2,3,0,0,
month6,כווית,כתום,2,7,0,0,
month6,אתיופיה,כתום,2,3972,46,1.16,
month6,האיטי,כתום,2,4,0,0,
year,צרפת,צהוב,3,97490,429,0.44,
year,סווזילנד,כתום,2,10,0,0,
year,מזרח טימור,כתום,2,2,0,0,
year,מונטנגרו,כתום,2,10920,74,0.68,
year,דרום סודאן,כתום,2,44,0,0,
year,לבנון,כתום,2,163,0,0,
year,ברבדוס,כתום,2,10,0,0,
year,ליטא,כתום,2,4067,12,0.3,
year,שוודיה,כתום,2,2266,7,0.31,
year,בולגריה,כתום,2,34428,489,1.42,
year,סין,צהוב,3,2428,3,0.12,
year,דנמרק,כתום,2,4528,14,0.31,
year,קובה,כתום,2,46,1,2.17,
year,קטר,כתום,2,121,0,0,
year,סודן,כתום,2,7,0,0,
year,גינאה,כתום,2,30,2,6.67,
year,סן מרינו,כתום,2,9,0,0,
year,אוקראינה,כתום,2,85535,3789,4.43,
year,סמואה,כתום,2,1,0,0,
year,גמייקה,כתום,2,41,1,2.44,
year,תוניסיה,כתום,2,157,11,7.01,
year,הודו,כתום,2,2620,15,0.57,
year,ערב הסעודית,כתום,2,187,1,0.53,
year,עומן,כתום,2,11,0,0,
year,טנזניה,כתום,2,3797,55,1.45,
year,פורטוגל,צהוב,3,7719,26,0.34,
year,סיירה ליאונה,כתום,2,22,0,0,
year,בליז,כתום,2,14,1,7.14,
year,מלזיה,כתום,2,6,0,0,
year,קוסטה ריקה,כתום,2,2373,33,1.39,
year,אל סלבדור,כתום,2,44,0,0,
year,הולנד,כתום,2,29825,138,0.46,
year,ניו זילנד,צהוב,3,98,1,1.02,
year,נפאל,כתום,2,171,1,0.58,
year,גרנדה,כתום,2,27,0,0,
year,זמביה,כתום,2,233,1,0.43,
year,מולדובה,כתום,2,12525,187,1.49,
year,מרטיניק,כתום,2,3,0,0,
year,איי פאלקלנד,כתום,2,1,0,0,
year,ונצואלה,כתום,2,190,3,1.58,
year,פנמה,כתום,2,1328,15,1.13,
year,רומניה,כתום,2,42307,362,0.86,
year,שוויץ,כתום,2,38404,171,0.45,
year,איסלנד,כתום,2,7629,50,0.66,
year,איי מרשל,כתום,2,1,0,0,
year,קנדה,כתום,2,16693,34,0.2,
year,דרום אפריקה,כתום,2,2334,14,0.6,
year,בורקינה פאסו,כתום,2,32,0,0,
year,קניה,כתום,2,1106,17,1.54,
year,קלדוניה החדשה,כתום,2,3,0,0,
year,גיבוטי,כתום,2,1,0,0,
year,צאד,כתום,2,17,0,0,
year,ונואטו,כתום,2,2,0,0,
year,ירדן,כתום,2,33325,193,0.58,
year,ויטנאם,כתום,2,86,0,0,
year,בלגיה,כתום,2,13444,52,0.39,
year,סוריה,כתום,2,575,0,0,
year,אירן,כתום,2,3,0,0,
year,מלדיבים,כתום,2,4887,25,0.51,
year,מוזמביק,כתום,2,91,0,0,
year,לאוס,כתום,2,2,0,0,
year,חוף השנהב,כתום,2,240,4,1.67,
year,ניקרגואה,כתום,2,25,0,0,
year,אקואדור,כתום,2,304,2,0.66,
year,פורטו ריקו,כתום,2,34,0,0,
year,מלטה,צהוב,3,308,0,0,
year,מונגוליה,כתום,2,11,0,0,
year,קפריסין,צהוב,3,59283,247,0.42,
year,גמביה,כתום,2,18,0,0,
year,רואנדה,כתום,2,348,2,0.57,
year,אנגליה,כתום,2,1,0,0,
year,גינאה החדשה,כתום,2,3,0,0,
year,ראוניון,כתום,2,9,0,0,
year,הונדורס,כתום,2,74,0,0,
year,סט וינסנט,כתום,2,9,1,11.11,
year,יפן,כתום,2,654,3,0.46,
year,פיליפינים,כתום,2,1557,18,1.16,
year,בהמס,כתום,2,43,0,0,
year,לטביה,כתום,2,2284,3,0.13,
year,בוליביה,כתום,2,87,0,0,
year,תורכמניסטאן,כתום,2,1012,25,2.47,
year,טג'יקיסטאן,כתום,2,70,0,0,
year,טונגה,כתום,2,2,0,0,
year,ברמודה,כתום,2,6,0,0,
year,זאיר,כתום,2,157,1,0.64,
year,ספרד,כתום,2,23144,195,0.84,
year,איי פיגי,כתום,2,4,0,0,
year,מאלי,כתום,2,164,7,4.27,
year,איי הבתולה,כתום,2,6,0,0,
year,גאורגיה,כתום,2,58543,323,0.55,
year,תימן,כתום,2,9,0,0,
year,אסטוניה,כתום,2,797,5,0.63,
year,סומליה,כתום,2,4,0,0,
year,לוכסמבורג,כתום,2,196,0,0,
year,פקיסטן,כתום,2,3,0,0,
year,אזרביג'אן,כתום,2,4260,40,0.94,
year,הונג קונג,צהוב,3,448,2,0.45,
year,מונקו,כתום,2,109,4,3.67,
year,ברוניי,כתום,2,1,0,0,
year,לסוטו,כתום,2,15,0,0,
year,מקסיקו,כתום,2,1159,23,1.98,
year,איי קיימן,כתום,2,2,0,0,
year,אוסטרליה,כתום,2,1050,2,0.19,
year,מדגסקר,כתום,2,7,0,0,
year,סט. לוציה,כתום,2,1,0,0,
year,בחריין,צהוב,3,304,0,0,
